#:standard,name,true
x;y;vx_mps;psi_rad;kappa_radpm;ax_mps2;s_m
20.878991308211;6.12137068091816;2.92037121971102;-1.94220485111699;0.361427356436255;-2.77244512945297;0
20.7365652053014;6.1625298865987;2.8027936510212;-1.86341454357396;0.592022425605438;-2.51373573037144;0.148254089327375
20.6064008717735;6.18360766556884;2.71958410286505;-1.7651696029377;0.673209284268804;-2.2757831356664;0.280113963773924
20.4845153295708;6.19112704720907;2.6473947610699;-1.67530020122725;0.773319848748306;-2.06974425690114;0.402231229131092
20.369418461326;6.1875284364696;2.58846666798864;-1.58600665805276;0.845332814880671;-1.8727413315742;0.517384340591419
20.260147438944;6.1743886825987;2.53624828484232;-1.50103204986034;0.839900878431985;-1.68511966898454;0.627442550027214
20.1520638952044;6.1527499930986;2.49219815552447;-1.41073493732818;0.836343680665767;-1.46057651109508;0.737670882639953
20.0267673881423;6.11391189831214;2.44757963711709;-1.30615321729293;0.846616458767508;-1.33000229593083;0.868848671493871
19.8876019036321;6.04952831101117;2.40859343898091;-1.18420766810481;0.841989479713634;-1.10039779476151;1.022185811133
19.7533624180286;5.96765217278401;2.37593170600487;-1.05496802460811;0.822445045924968;-1.01824282544317;1.17942429721725
19.6281892568427;5.86385412883015;2.35417128698466;-0.918787926134149;0.827441662727138;-0.770623705025887;1.34203534914767
19.5147490432495;5.74084413078644;2.34122092438239;-0.77817666168866;0.838179683419055;-0.714439891606441;1.5093677778003
19.4196099516032;5.60106868446757;2.33984860591999;-0.633471722527721;0.839167501210196;-0.434045800931686;1.67844948039682
19.3457969072162;5.44991892856923;2.34914893510495;-0.490667940333086;0.843319750330854;-0.379791659028583;1.84665951050739
19.2956565332802;5.29560476321062;2.36907574958568;-0.351690269707931;0.844341317489733;-0.0658813987684031;2.0089152306801
19.2681077804432;5.14266474203449;2.39963352150491;-0.220273454981799;0.827346882343239;0.00961555079044505;2.16431659444578
19.2598886808987;4.9916485611782;2.4391144672781;-0.0928007035400471;0.794416159184887;0.323796864379995;2.31555627335888
19.2714239389766;4.83482833194153;2.49130479832133;0.0360143069218444;0.762778514934187;0.410547044145131;2.47280018095713
